Hsig (m),Tp (s),Tm (s),Dp (deg),DpSpr (deg),Dm (deg),DmSpr (deg),QF_waves,WindSpeed (m/s),WindDirec (deg),,
3.52,14.62,9.24,212.458,18.947,217.09,29.889,1,6.8,131,,
3.63,14.62,9.66,215.449,17.386,216.731,27.566,1,7.2,154,14.24,1
3.48,12.8,9.2,218.743,19.006,215.904,29.202,1,7.2,171,,
3.84,14.62,9.66,212.315,16.201,214.342,27.835,1,8,154,14.28,1
3.78,14.62,9.88,215.598,14.276,217.285,26.784,1,7.2,142,,
4.01,14.62,10.28,215.524,16.753,216.92,26.254,1,7.2,148,14.28,1
3.79,14.62,9.78,212.341,17.06,213.373,27.904,1,6.8,160,,
3.57,12.8,9.6,220.321,21.115,217.062,28.549,1,5.6,194,14.32,1
3.67,14.62,9.6,212.386,17.628,213.868,28.815,1,7.2,148,,
3.41,14.62,9.58,214.699,19.966,214.831,30.595,1,6.8,154,14.34,1
3.75,12.8,9.86,216.307,17.023,214.94,27.785,1,6.8,142,,
3.87,14.62,9.92,214.776,16.602,215.106,26.998,1,5.6,194,14.38,1
3.63,12.8,9.74,215.42,19.375,212.535,28.734,1,6,165,,
3.41,12.8,9.56,212.983,22.493,213.111,30.433,1,6.8,234,14.48,1
3.58,12.8,9.5,220.75,19.524,215.942,29.291,1,6.4,171,,
3.66,12.8,9.98,217.024,18.753,213.003,27.93,1,6.8,142,14.46,1
3.71,12.8,9.96,221.081,18.016,215.582,27.235,1,4.8,194,,
3.82,12.8,10.34,219.775,19.65,214.827,27.075,1,6.8,160,14.48,1
3.71,14.62,10.16,216.248,17.394,214.356,27.253,1,6,137,,
3.76,14.62,10.08,216.32,16.758,213.306,26.863,1,6.4,137,14.44,1
3.55,14.62,10.04,217.715,17.385,215.251,27.384,1,6.4,142,,
3.4,12.8,9.88,217.912,20.588,214.756,28.706,1,6.4,222,14.38,1
3.21,12.8,9.72,219.976,22.405,214.471,30.865,1,6,148,,
3.47,12.8,9.66,220.537,19.595,215.895,28.804,1,7.2,148,14.32,1
3.47,14.62,9.88,216.409,18.368,215.396,28.741,1,7.2,211,,
3.29,14.62,9.78,217.037,20.171,212.934,29.988,1,7.2,137,14.3,1
3.3,14.62,9.7,218.429,18.416,214.618,29.141,1,7.6,125,,
3.18,12.8,9.48,219.876,22.787,214.2,31.157,1,8,137,14.26,1
3.37,14.62,9.76,217.76,19.274,216.406,29.257,1,7.2,137,,
3.64,12.8,10.2,222.669,17.773,218.471,27.896,1,7.6,125,14.26,1
3.31,12.8,9.66,217.341,21.7,213.111,30.433,1,7.6,131,,
3.21,12.8,9.4,222.47,19.918,217.003,32.443,1,8,131,14.22,1
3.05,12.8,9.46,218.41,24.387,212.147,32.826,1,7.2,62,,
3.37,12.8,10.02,220.7,22.644,214.592,30.221,1,6.8,131,14.22,1
3.38,14.62,9.96,221.792,20.053,216.948,30.464,1,7.6,137,,
3.22,12.8,9.82,219.172,19.952,213.473,30.554,1,8,120,14.22,1
3.49,14.62,9.98,220.15,16.88,215.156,29.304,1,7.6,125,,
3.18,12.8,9.72,215.39,22.444,210.499,31.647,1,6.4,131,14.2,1
3.41,12.8,10.08,216.43,19.586,212.319,28.972,1,7.2,120,,
3.2,12.8,9.8,222.163,22.656,213.8,31.331,1,8.4,114,14.14,1
3.35,12.8,9.72,216.882,19.059,211.307,29.525,1,6.4,131,,
3.39,12.8,10,217.718,20.187,211.916,29.532,1,7.2,188,14.1,1
3.12,12.8,9.92,219.111,18.137,212.047,30.282,1,7.2,108,,
3.45,12.8,10.08,218.141,19.287,212.101,29.207,1,8,114,14.06,1
3.27,12.8,9.8,217.844,19.304,211.467,30.368,1,7.6,108,,
3.36,12.8,10.08,217.572,19.677,211.365,30.096,1,7.2,102,14.08,1
3.38,12.8,10.24,215.401,17.493,211.096,28.713,1,7.6,137,,
3.19,12.8,9.74,217.891,21.021,211.664,31.275,1,7.2,57,14.1,1
3.25,12.8,10.22,216.361,22.196,210.528,30.296,1,7.6,68,,
3.06,12.8,10.02,214.386,23.537,208.35,32.214,1,6.8,80,14.14,1
3.02,12.8,9.86,216.063,23.399,210.132,32.089,1,8,74,,
3.07,12.8,9.58,214.943,19.501,209.438,32.68,1,9.2,85,14.16,1
2.87,12.8,9.4,216.072,21.985,208.697,34.145,1,8,85,,
3.01,12.8,9.56,218.258,20.475,210.395,31.974,1,8,68,14.2,1
2.9,12.8,9.58,222.116,20.767,212.646,33.059,1,7.2,85,,
3.05,12.8,10.08,218.847,20.648,212.908,30.894,1,6.8,97,14.28,1
2.94,12.8,9.76,220.034,19.481,212.181,31.976,1,6.8,85,,
3.08,12.8,9.98,219.661,19.269,212.779,31.149,1,7.2,114,14.38,1
2.89,14.62,9.68,213.146,19.486,210.13,33.45,1,6.8,108,,
2.64,12.8,9.32,220.811,21.845,211.316,36.973,1,7.2,108,14.46,1
2.74,14.62,9.7,216.178,17.094,210.696,33.866,1,6.8,120,,
2.95,12.8,9.64,219.344,18.702,211.92,33.033,1,6.8,114,14.46,1
2.78,12.8,9.06,223.417,22.06,213.46,35.461,1,7.2,142,,
2.83,12.8,9.2,221.855,19.016,212.54,35.271,1,7.6,114,14.44,1
2.65,14.62,9.28,219.201,20.3,211.842,36.366,1,7.6,114,,
2.86,12.8,9.76,224.652,24.169,216.114,40.003,1,7.2,125,14.44,1
2.57,14.62,9.16,220.498,19.47,212.493,36.994,1,7.6,120,,
2.66,12.8,9.2,221.5,19.894,212.777,36.247,1,8,131,14.44,1
2.71,12.8,9.26,222.119,18.326,213.21,35.459,1,8.8,120,,
2.69,12.8,9.34,225,18.903,215.505,36.587,1,7.6,125,14.46,1
2.71,12.8,9.4,223.658,19.098,215.368,35.73,1,7.6,114,,
2.64,14.62,9.42,224.327,19.6,214.691,36.975,1,8,114,14.46,1
2.48,14.62,9.38,224.959,17.008,217.208,36.658,1,6.8,114,,
2.49,12.8,9.38,223.525,23.941,216.288,37.178,1,7.6,120,14.38,1
2.78,12.8,9.84,227.032,17.158,217.437,33.433,1,7.2,114,,
2.39,12.8,8.92,222.757,20.511,212.126,37.58,1,7.6,97,14.32,1
2.44,14.62,9.3,220.337,19.199,210.118,34.55,1,7.6,68,,
2.32,12.8,9.44,219.978,23.497,212.139,36.131,1,6.8,114,14.24,1
2.47,12.8,9.76,219.137,20.837,212.645,34.637,1,6.8,80,,
2.54,12.8,10.12,216.075,19.077,212.537,31.512,1,7.2,131,14.1,1
2.45,12.8,9.86,220.061,17.123,212.183,32.909,1,3.2,131,,
2.43,12.8,9.82,221.119,18.15,211.955,34.017,1,6.4,91,14.12,1
2.38,12.8,9.86,217.976,22.719,209.736,34.205,1,5.2,68,,
2.42,12.8,9.94,215.123,19.352,210.964,32.626,1,5.6,34,14.08,1
2.31,12.8,9.72,216.31,22.99,208.408,34.783,1,6.4,80,,
2.54,12.8,10.16,218.108,18.052,210.422,31.243,1,5.6,40,14.1,1
2.19,12.8,9.7,217.233,22.083,207.995,35.695,1,5.6,80,,
2.51,12.8,10.34,219.64,17.268,212.314,31.729,1,5.6,62,14.14,1
2.39,12.8,9.82,219.592,20.063,211.218,33.425,1,2.4,131,,
2.3,14.62,10.2,217.756,18.423,210.168,34.295,1,5.6,40,14.16,1
2,14.62,9.5,213.987,26.864,207.069,36.706,1,6,17,,
2.58,12.8,10.82,215.38,18.629,212.224,29.335,1,5.6,62,14.2,1
2.23,14.62,9.94,217.356,18.884,209.687,32.924,1,6,51,,
2.27,12.8,10.08,214.947,21.949,208.573,32.822,1,1.6,160,14.24,1
2.42,12.8,10.46,213.427,19.17,209.794,31.805,1,5.6,74,,
2.25,12.8,10.04,212.935,22.052,206.743,32.122,1,6.4,68,14.24,1
2.04,12.8,9.98,211.389,22.154,205.385,33.632,1,1.6,160,,
2.25,12.8,10.58,212.512,18.232,208.222,30.101,1,3.6,80,14.34,1
2.08,14.62,10.18,213.057,21.149,206.803,32.077,1,1.6,120,,
1.91,14.62,9.86,217.168,20.106,207.831,33.287,1,3.2,85,14.46,1
2.02,12.8,10.32,213.1,22.654,208.076,31.868,1,1.6,160,,
2.03,12.8,10.22,214.419,20.286,208.99,32.71,1,3.2,62,15.14,1
2.06,14.62,10.46,214.216,18.884,207.624,31.201,1,1.2,160,,
1.82,12.8,9.88,217.063,22.026,209.141,34.663,1,1.2,148,16.5,1
2.05,14.62,10.42,214.512,21.969,209.219,30.419,1,3.2,51,,
2.12,12.8,10.46,212.976,20.549,207.465,30.033,1,2.4,0,17.86,1
2.09,14.62,10.78,215.822,15.788,210.132,28.278,1,2.8,11,,
1.85,14.62,10.16,213.399,24.653,206.027,32.65,1,1.2,137,17.72,1
1.82,14.62,10.28,213.061,20.025,203.671,32.414,1,2.4,40,,
1.93,12.8,10.72,211.759,19.586,208.929,29.334,1,2,51,15.78,1
1.76,12.8,10.48,212.932,22.57,206.474,33.735,1,1.2,114,,
1.73,12.8,10.22,214.672,23.262,206.965,34.863,1,1.2,131,15.5,1
1.82,12.8,10.4,216.783,25.053,211.296,32.675,1,0.8,137,,
1.8,12.8,10.72,219.883,21.449,214.235,30.869,1,3.6,131,15.18,1
1.64,12.8,10.14,213.83,27.063,210.916,36.147,1,3.6,148,,
1.76,12.8,10.22,217.612,20.6,212.405,31.761,1,0.8,148,15.28,1
1.61,12.8,10.02,219.12,21.266,213.544,31.473,1,0.8,148,,
1.72,12.8,10.62,216.654,20.92,214.748,29.652,1,4.8,154,14.98,1
1.76,12.8,10.28,221.77,22.907,214.724,30.714,1,6,125,,
1.64,12.8,9.72,219.103,21.687,213.165,33.497,1,6.8,125,14.76,1
1.63,12.8,9.8,223.416,25.585,217.383,35.482,1,0.8,154,,
1.56,14.62,9.8,223.858,20.374,213.293,34.286,1,6.4,114,14.72,1
1.6,14.62,10.04,221.751,17.891,213.8,31.331,1,5.6,114,,
1.46,11.36,9.28,211.101,24.017,208.097,36.132,1,6.8,102,14.54,1
1.76,12.8,10.34,218.679,21.575,212.29,30.904,1,5.6,40,,
1.62,12.8,9.94,222.43,19.798,215.741,33.073,1,5.2,85,14.56,1
1.6,12.8,9.8,214.953,20.654,209.576,34.006,1,5.2,85,,
1.59,12.8,9.9,214.824,21.255,211.502,32.605,1,4.8,80,14.6,1
1.54,11.36,9.4,210.295,20.816,209.015,34.546,1,6.4,57,,
1.54,12.8,9.44,216.59,22.686,209.806,36.556,1,6.4,68,14.56,1
1.41,12.8,8.92,213.499,26.33,206.823,38.39,1,5.2,28,,
1.54,12.8,9.66,214.285,23.69,206.504,34.864,1,3.6,62,14.5,1
1.54,12.8,9.26,215.062,23.32,207.457,37.436,1,4.4,40,,
1.49,14.62,9.08,212.625,23.027,205.197,37.348,1,4,51,14.46,1
1.44,12.8,8.74,217.129,24.508,206.897,40.18,1,4.4,342,,
1.51,12.8,8.58,211.326,21.905,204.811,39.937,1,5.2,40,14.46,1
1.45,12.8,8.52,216.063,23.399,209.121,41.699,1,5.6,28,,
1.35,12.8,7.48,211.583,27.514,205.346,50.177,1,5.6,22,14.42,1
1.38,12.8,7.84,212.324,28.57,205.066,50.057,1,5.2,17,,
1.31,14.62,7.5,217,29.868,206.565,49.899,1,4.8,22,14.34,1
1.44,12.8,7.56,213.587,24.546,212.457,51.758,1,5.6,17,,
1.42,12.8,7.36,218.112,24.217,217.012,54.228,1,5.2,354,14.36,1
1.29,14.62,6.8,219.435,26.749,215.145,58.398,1,6.8,17,,
1.4,12.8,7.36,216.495,25.957,214.612,54.001,1,6.4,11,14.4,1
1.4,12.8,7.1,217.726,26.894,220.389,56.376,1,4.8,11,,
1.35,12.8,6.62,221.007,30.999,220.132,60.646,1,5.6,342,14.46,1
1.31,12.8,6.68,220.48,25.177,223.484,58.979,1,6.4,11,,
1.35,14.62,6.76,222.224,23.836,224.481,59.676,1,6,11,14.52,1
1.35,12.8,6.86,219.144,22.724,219.385,57.609,1,5.6,45,,
1.16,12.8,6.18,219.849,33.268,227.677,63.558,1,5.2,11,14.68,1
1.34,12.8,7.76,220.96,21.131,219.541,51.518,1,4.8,22,,
1.24,12.8,7.48,222.118,22.751,219.88,52.459,1,4.8,17,14.8,1
1.28,12.8,7.68,217.779,22.357,217.81,50.763,1,5.2,22,,
1.14,11.36,7.06,217.781,27.413,218.478,55.584,1,4.8,5,15.04,1
1.17,12.8,7.5,219.562,24.083,218.077,52.206,1,3.6,17,,
1.19,12.8,7.84,219.652,26.874,215.704,49.635,1,4,17,15.36,1
1.22,12.8,8.16,220.562,22.919,215.888,47.914,1,4,11,,
1.22,14.62,7.76,226.702,21.319,219.161,50.509,1,5.2,5,15.52,1
1.16,12.8,7.6,216.771,25.232,210.654,51.972,1,4.8,11,,
1.28,12.8,8.28,219.874,19.206,215.528,45.503,1,4,5,15.9,1
1.15,14.62,7.92,217.838,20.34,212.478,47.695,1,3.6,17,,
1.34,12.8,9.1,219.228,17.14,216.721,40.216,1,3.2,22,16.26,1
1.22,14.62,8.84,225.742,16.03,219.927,43.539,1,3.2,22,,
1.15,12.8,8.76,218.948,24.139,214.278,43.383,1,3.2,5,16.5,1
1.18,12.8,8.64,222.314,21.543,216.575,42.738,1,4,22,,
1.27,12.8,9.54,223.034,21.928,217.334,38.685,1,3.2,40,16.84,1
1.17,12.8,8.86,220.408,19.683,216.4,41.347,1,3.2,34,,
1.27,12.8,9.6,224.497,19.136,220.854,36.82,1,3.2,17,16.46,1
1.23,14.62,9.5,222.789,18.166,217,38.454,1,3.6,22,,
1.18,14.62,9.54,229.239,17.433,221.687,38.219,1,3.2,34,16.24,1
1.18,12.8,9.18,224.619,20.622,218.186,38.453,1,3.2,22,,
1.17,14.62,9.24,224.489,21.376,217.101,38.47,1,5.2,11,15.72,1
1.31,12.8,10.28,226.007,19.117,220.725,32.96,1,3.2,5,,
1.17,12.8,9.72,223.259,20.994,218.838,37.518,1,2.4,74,15.8,1
1.17,12.8,9.68,224.15,21.153,217.944,37.819,1,2.4,354,,
1.03,12.8,8.86,225.085,21.382,217.158,41.348,1,4.8,85,15.64,1
1.04,12.8,9.46,224.646,26.326,215.108,43.472,1,4,114,,
1.16,12.8,9.8,224.367,20.171,218.683,39.166,1,4,102,15.6,1
1.09,14.62,8.92,225.659,25.355,217.529,44.644,1,2.4,17,,
1.25,12.8,9.16,228.461,20.014,223.079,39.461,1,4.8,108,15.46,1
1.12,12.8,7.54,223.107,25.655,215.314,50.463,1,5.6,45,,
1.21,14.62,8.28,224.216,24.347,221.987,45.559,1,5.2,137,15.18,1
1.25,12.8,6.38,228.324,29.18,230.802,58.892,1,7.6,5,,
1.48,14.62,6.02,227.111,25.551,242.52,65.03,1,8,11,14.6,1
1.84,14.62,5.18,221.59,30.318,326.357,66.327,1,9.2,337,,
1.78,12.8,5.4,229.37,32.039,307.489,65.642,1,9.6,325,14.36,1
1.77,12.8,6.16,222.189,21.422,261.568,63.114,1,9.6,337,,
1.59,12.8,5.32,220.302,31.134,282.24,63.9,1,8.8,342,14.38,1
1.7,12.8,5.8,221.808,24.817,258.248,61.585,1,11.2,331,,
1.53,12.8,5.86,223.531,26.889,256.722,61.182,1,8.4,354,14.38,1
1.56,14.62,6.72,227.902,25.481,236.201,52.957,1,8,331,,
1.59,12.8,7.44,224.396,23.206,228.431,48.159,1,7.6,348,14.46,1
1.39,12.8,7,226.295,27.232,222.231,50.264,1,7.2,320,,
1.4,12.8,7.46,222.142,23.635,216.664,47.719,1,5.6,302,14.48,1
1.41,11.36,7.82,223.119,21.935,214.885,45.203,1,4.8,285,,
1.62,12.8,8.34,217.823,19.765,214.354,40.65,1,4.8,308,14.62,1
1.46,12.8,7.52,225.971,20.159,219.174,45.772,1,4.8,320,,
1.39,12.8,7.84,226.783,24.205,218.86,44.53,1,4.4,280,14.76,1
1.53,11.36,8.26,220.754,23.637,217.068,41.612,1,3.6,22,,
1.44,12.8,8.08,228.225,22.708,221.359,42.157,1,4,251,14.72,1
1.45,12.8,8.3,221.174,22.622,216.674,40.943,1,3.6,257,,
1.33,12.8,8.32,224.869,25.002,218.845,43.701,1,2.8,257,14.74,1
1.27,12.8,8.04,222.081,20.431,217.2,43.408,1,2.4,228,,
1.26,12.8,8.22,226.269,24.973,218.935,44.384,1,2.4,240,15.1,1
1.23,14.62,8.48,218.718,24.367,215.206,43.857,1,2,251,,
1.19,12.8,8.34,224.33,27.252,218.222,45.882,1,1.6,285,15.44,1
1.27,14.62,8.84,225.903,22.703,217.298,43.893,1,2.8,0,,
1.14,12.8,8.42,223.293,24.949,219.245,43.11,1,1.6,280,16.24,1
1.21,14.62,9.28,224.273,22.101,221.664,39.676,1,1.2,302,,
1.13,12.8,9,224.824,25.451,221.115,40.937,1,1.2,274,17.42,1
1.22,14.62,9.48,224.608,24.262,220.331,39.343,1,1.2,331,,
1.34,14.62,9.88,222.178,19.766,223.035,35.65,1,0.8,22,17.84,1
1.3,12.8,9.2,222.091,27.455,220.137,39.843,1,0.8,297,,
1.24,12.8,7.36,225,25.273,224.211,44.208,1,5.6,291,15.4,1
1.19,12.8,6.26,221.199,33.008,231.08,48.65,1,6.4,280,,
1.36,14.62,6.5,223.636,21.553,234.244,43.31,1,6.8,257,15.08,1
1.35,12.8,6.5,220.048,27.026,234.481,45.854,1,5.6,280,,
1.47,12.8,6.48,219.172,24.932,234.659,44.658,1,7.2,291,14.92,1
1.4,14.62,6.32,219.542,28.977,235.513,47.043,1,6,280,,
1.39,12.8,5.7,219.739,30.39,242.013,47.8,1,8.8,331,14.74,1
1.56,14.62,6.42,221.639,22.989,238.244,45.048,1,8.4,11,,
1.41,12.8,5.6,223.345,30.144,248.003,48.834,1,7.6,314,14.78,1
1.36,12.8,5.7,217.674,28.291,245.237,49.59,1,8,314,,
1.47,12.8,5.96,216.318,26.517,243.119,49.057,1,7.2,320,14.74,1
1.47,12.8,5.72,216.936,31.131,247.989,51.588,1,7.6,17,,
1.56,11.36,5.68,222.592,32.495,255.227,51.859,1,7.6,17,14.8,1
1.64,14.62,5.82,221.66,28.308,252.077,52.032,1,8.8,337,,
1.64,12.8,5.62,223.167,29.832,256.639,52.278,1,10.4,325,14.82,1
1.91,14.62,6.6,223.953,36.747,252.739,59.112,1,9.2,331,,
1.96,14.62,5.54,219.544,34.241,267.919,53.419,1,7.2,337,14.62,1
1.97,14.62,5.48,218.66,41.922,272.607,52.496,1,11.2,314,,
2.32,6.4,5.86,275.106,40.768,274.334,51.563,1,10.8,314,14.54,1
2.78,8.52,6.38,272.833,29.207,273.931,44.484,1,11.6,291,,
2.9,7.86,6.64,277.638,31.054,273.291,44.52,1,8,268,14.46,1
2.88,7.86,6.64,276.237,32.732,275.509,47.115,1,10.8,297,,
3.02,10.24,6.86,261.456,32.189,271.787,42.816,1,7.2,325,14.52,1
3.02,7.86,6.92,277.434,33.307,275.856,42.248,1,9.6,308,,
2.97,10.24,6.94,276.488,32.493,276.365,41.266,1,8,337,14.6,1
3.11,9.3,7.24,274.845,30.702,274.118,41.709,1,8.4,320,,
3.21,10.24,7.2,268.913,33.974,274.665,39.931,1,8.8,314,14.6,1
3.08,10.24,7.26,273.4,26.858,274.872,38.766,1,10,285,,
3.24,10.24,7.68,271.372,30.585,272.132,39.529,1,9.2,320,14.58,1
3.14,11.36,7.14,265.646,30.024,273.131,38.904,1,11.2,285,,
3.2,10.24,7.24,272.304,33.734,274.377,37.888,1,9.2,297,14.6,1
3.14,10.24,7.28,268.47,23.584,270.211,36.624,1,8.4,285,,
2.99,11.36,7.1,263.217,31.12,272.364,41.732,1,10.8,285,14.6,1
2.9,11.36,7.08,268.789,28.188,272.945,37.996,1,11.2,291,,
3.18,11.36,7.36,267.409,24.569,271.618,36.596,1,9.6,285,14.66,1
3.07,11.36,7.46,271.626,26.16,273.094,36.52,1,10.4,285,,
2.97,11.36,7.38,269.87,29.868,270.285,37.575,1,10,285,14.7,1
2.84,11.36,7.32,265.688,31.9,270.715,37.741,1,9.2,280,,
2.86,12.8,7.26,263.646,27.688,268.269,38.307,1,8,320,14.74,1
2.74,11.36,7.12,270.854,31.121,270.512,39.244,1,8.4,297,,
2.88,11.36,7.32,268.156,24.103,268.204,35.249,1,9.2,291,14.72,1
2.73,11.36,7.2,270.529,31.739,270.81,39.647,1,8.8,297,,
2.7,10.24,6.86,276.948,29.815,273.281,38.977,1,8.4,320,14.72,1
2.71,12.8,7.12,264.616,30.939,268.696,42.073,1,9.6,291,,
2.81,12.8,7.54,254.924,31.448,265.753,39.235,1,7.6,297,14.74,1
2.83,12.8,7.38,246.595,30.707,262.255,41.326,1,8,285,,
2.91,12.8,7.4,249.956,29.227,261.649,37.358,1,9.2,291,14.74,1
2.9,11.36,7.3,266.248,32.755,266.217,42.42,1,10.8,280,,
3.1,12.8,7.44,251.892,35.185,263.913,40.027,1,11.2,274,14.68,1
2.78,12.8,7.2,251.278,36.152,263.452,40.851,1,10.8,280,,
3.07,11.36,7.38,260.681,33.104,263.401,39.232,1,8.4,291,14.64,1
3.1,12.8,7.72,257.263,31.711,261.393,39.345,1,7.6,274,,
3.03,12.8,7.4,251.206,32.672,259.622,40.166,1,10.8,274,14.64,1
3.38,11.36,7.92,259.028,28.276,258.229,39.541,1,10.4,274,,
3.18,12.8,7.78,254.179,29.476,259.78,39.212,1,10,280,14.6,1
3.11,11.36,7.78,254.569,32.651,256.27,40.214,1,10.4,274,,
3.51,11.36,8.84,251.147,26.953,255.548,45.446,1,8.4,285,14.6,1
3.28,12.8,7.76,254.49,29.623,258.489,39.351,1,9.6,285,,
3.14,11.36,7.68,258.537,30.235,259.753,37.506,1,10.8,285,14.54,1
3.4,11.36,8.3,254.514,29.066,255.685,38.107,1,10.4,280,,
3.06,11.36,7.6,255.98,32.89,255.26,40.268,1,8,291,14.58,1
3.01,11.36,7.58,257.865,28.2,254.82,37.663,1,10,274,,
3.02,11.36,7.62,259.2,30.232,255.036,38.343,1,9.2,268,14.6,1
3.03,12.8,7.44,251.523,31.568,255.209,38.569,1,9.6,280,,
3.04,11.36,7.58,251.829,29.056,253.602,37.784,1,8.8,291,14.62,1
2.79,11.36,7.24,248.336,33.005,251.519,39.041,1,11.2,268,,
2.96,11.36,7.46,249.207,30.709,251.07,37.447,1,10,268,14.66,1
2.82,11.36,7.4,247.711,28.798,250.788,38.406,1,8.4,280,,
2.53,12.8,7.26,248.703,29.594,252.811,39.078,1,10.4,274,14.66,1
2.57,10.24,7.34,248.784,32.946,251.888,39.092,1,8.4,274,,
2.68,11.36,7.52,246.238,31.476,249.519,37.324,1,7.6,302,14.64,1
2.59,12.8,7.56,248.962,24.007,252.759,36.109,1,10,274,,
2.57,11.36,7.3,247.128,30.843,247.667,37.831,1,7.2,308,14.64,1
2.65,11.36,7.46,244.933,29.237,247.413,36.773,1,9.2,262,,
2.59,11.36,7.4,247.004,29.13,247.829,37.357,1,8,280,14.64,1
2.55,11.36,7.58,248.186,32.495,247.38,37.319,1,9.2,268,,
2.38,11.36,7.48,250.531,30.706,249.291,38.755,1,8,274,14.62,1
2.36,11.36,7.2,240.296,31.767,246.981,38.226,1,7.6,257,,
2.42,11.36,7.18,247.172,26.635,249.999,36.987,1,7.6,291,14.64,1
2.3,11.36,7.02,247.729,29.875,249.627,37.464,1,7.6,251,,
2.32,11.36,7.24,239.758,32.568,246.175,37.442,1,8,245,14.66,1
2.34,11.36,7.2,242.38,33.336,247.55,37.497,1,7.6,268,,
2.35,11.36,7.24,244.979,32.046,246.436,37.58,1,7.6,297,14.74,1
2.39,11.36,7.18,239.439,30.387,243.894,39.349,1,8.8,274,,
2.42,10.24,7.16,249.585,27.414,248.303,36.844,1,9.6,268,14.76,1
2.44,11.36,7.26,239.17,29.878,244.077,37.973,1,8,274,,
2.43,11.36,7.26,237.94,28.464,243.662,38.577,1,9.2,262,14.74,1
2.57,11.36,7.62,238.131,29.196,241.801,37.836,1,8.4,268,,
2.48,11.36,7.18,229.727,34.987,239.69,40.548,1,8.8,257,14.76,1
2.5,9.3,7.04,245.525,27.22,243.56,35.919,1,9.2,257,,
2.67,10.24,7.2,238.297,27.651,240.878,35.926,1,9.6,251,14.72,1
2.49,10.24,7.04,242.314,33.719,240.093,38.651,1,8.4,274,,
2.77,11.36,7.66,232.303,27.971,236.97,36.251,1,8.8,257,14.64,1
2.55,10.24,7.18,239.518,28.441,240.405,37.502,1,8.8,291,,
2.72,10.24,7.4,239.19,28.752,237.824,36.206,1,10,262,14.54,1
2.64,10.24,7.14,245.84,33.061,242.696,38.009,1,8.8,257,,
2.68,11.36,7.36,239.94,27.825,241.769,35.119,1,9.2,257,14.5,1
2.74,10.24,7.6,239.897,26.551,239.394,35.655,1,8,245,,
2.33,11.36,7.24,241.072,30.44,240.959,37.187,1,7.6,251,14.46,1
2.44,10.24,7.48,234.114,32.192,234.617,36.372,1,7.2,245,,
2.36,10.24,7.32,235.622,27.93,236.772,35.66,1,8.8,251,14.4,1
2.61,10.24,7.64,239.401,26.269,239.651,33.601,1,7.2,268,,
2.38,11.36,7.5,230.618,26.048,236.879,34.44,1,6.8,240,14.4,1
2.32,11.36,7.36,232.951,28.706,235.871,34.98,1,8.8,262,,
2.2,9.3,7.3,236.42,31.922,235.158,36.633,1,8.4,251,14.44,1
2.36,10.24,7.86,237.961,26.419,236.291,34.132,1,6.8,257,,
2.5,10.24,8.06,236.569,25.679,235.55,32.604,1,6.4,240,14.4,1
2.38,10.24,7.94,234.022,23.368,235.128,32.292,1,6,240,,
2.2,10.24,7.9,240.969,25.048,238.053,35.226,1,4,234,14.52,1
2.29,10.24,8,236.631,29.121,235.516,34.203,1,5.6,222,,
2.23,10.24,7.86,238.626,29.71,233.876,35.243,1,3.6,222,14.54,1
2.15,10.24,7.86,236.614,29.365,234.536,36.515,1,3.6,234,,
2.06,11.36,7.42,223.22,29.452,229.161,37.065,1,5.6,228,14.54,1
2.12,10.24,7.64,236.328,30.467,233.436,35.719,1,3.6,228,,
2.08,11.36,7.82,230.747,29.242,231.373,36.503,1,3.2,222,14.52,1
2.15,11.36,7.86,222.572,25.967,230.212,35.641,1,4.4,240,,
2.01,10.24,7.72,228.533,29.928,231.362,36.94,1,5.6,240,14.54,1
1.97,10.24,7.7,231.791,31.023,228.471,36.317,1,6,257,,
2.07,10.24,7.6,221.24,28.662,227.621,37.481,1,3.6,222,14.54,1
1.98,10.24,7.68,228.423,34.193,227.398,36.882,1,3.2,222,,
2.31,10.24,7.92,223.607,24.322,227.645,32.549,1,3.6,228,14.5,1
2.17,10.24,7.84,221.485,28.129,226.592,34.303,1,6.8,325,,
2.09,10.24,7.76,217.842,27.176,223.086,35.589,1,7.2,268,14.44,1
2.17,10.24,7.92,218.913,21.104,220.197,32.2,1,3.6,217,,
2.03,10.24,7.58,215.585,33.589,219.383,36.415,1,6,234,14.34,1
2.16,10.24,7.7,215.017,23.888,217.745,33.215,1,6.4,280,,
2.05,10.24,7.54,212.216,28.69,216.802,34.458,1,4,217,14.46,1
2.28,10.24,8.08,212.976,20.549,216.49,30.88,1,6.4,274,,
2.24,9.3,7.84,218.367,25.921,217.496,32.259,1,6.8,285,14.44,1
2.22,10.24,7.64,215.361,22.839,216.95,32.005,1,7.6,262,,
2.29,10.24,7.8,212.84,21.142,215.53,30.184,1,7.2,268,14.42,1
2.19,11.36,7.78,214.957,24.625,219.001,31.743,1,8,274,,
2.12,10.24,7.88,209.737,24.511,213.858,33.072,1,3.2,217,14.56,1
2.07,11.36,7.74,206.176,25.381,213.973,34,1,6,262,,
1.99,10.24,7.78,209.116,27.605,214.127,34.647,1,5.6,257,14.66,1
2.14,9.3,7.84,211.855,24.88,214.395,32.66,1,5.2,268,,
2.21,10.24,8.1,207.56,24.794,212.566,30.624,1,4.8,240,14.62,1
2.26,11.36,8.22,208.774,21.424,213.474,30.173,1,3.2,217,,
